subid,convert_TF
28982887,FALSE
26086456,FALSE
27956169,TRUE
26297443,TRUE
25855767,TRUE
27838107,TRUE
22457784,FALSE
26575516,FALSE
26186527,FALSE
23685076,TRUE
21059527,TRUE
25115700,TRUE
20151749,TRUE
25831760,TRUE
28833050,TRUE
24129855,TRUE
21958440,FALSE
23417937,TRUE
27147716,FALSE
21115395,FALSE
21466664,FALSE
24117947,FALSE
23950661,TRUE
21605138,FALSE
25729781,TRUE
21035247,FALSE
24490931,TRUE
28929759,TRUE
27338796,TRUE
22979886,TRUE
25770549,TRUE
23508025,TRUE
23963354,TRUE
23328750,TRUE
25199933,FALSE
23836292,TRUE
24676557,FALSE
26729896,TRUE
25795961,TRUE
27868708,FALSE
23341616,FALSE
26273101,FALSE
28805976,FALSE
26710101,TRUE
28354824,TRUE
21427873,FALSE
21438475,TRUE
20649839,FALSE
22781325,FALSE
26427811,FALSE
20190163,FALSE
22966702,FALSE
21390756,TRUE
20095340,FALSE
23203040,TRUE
29849805,FALSE
27107402,FALSE
28666872,TRUE
25196252,TRUE
25691592,FALSE
27237249,FALSE
21063918,FALSE
27607616,FALSE
25955756,TRUE
28330468,TRUE
26627535,TRUE
20285620,TRUE
26523181,TRUE
25954821,FALSE
24302897,TRUE
21693711,TRUE
22626699,FALSE
23935914,FALSE
20475021,TRUE
22711814,TRUE
21051741,FALSE
28016843,TRUE
22899394,TRUE
29143005,FALSE
25800517,FALSE
20943131,TRUE
21655976,TRUE
28211863,TRUE
21875367,FALSE
21038772,TRUE
24237424,TRUE
20178812,FALSE
26536301,TRUE
23104670,TRUE
21621143,TRUE
29741082,TRUE
27734057,TRUE
22521141,FALSE
27989108,TRUE
28759721,TRUE
28475675,FALSE
26603654,FALSE
25296665,FALSE
21283461,TRUE
27461731,FALSE
23784751,TRUE
27645056,FALSE
29113650,FALSE
23286190,TRUE
21974101,TRUE
27751886,TRUE
27760282,FALSE
22852176,TRUE
25237946,FALSE
28913301,TRUE
27340147,FALSE
26080965,FALSE
23757145,TRUE
20936553,FALSE
28953796,TRUE
29427188,FALSE
24205791,FALSE
25237560,FALSE
25883600,FALSE
20175042,FALSE
25773557,TRUE
24140775,TRUE
20398904,FALSE
24577335,TRUE
26070157,TRUE
20149975,FALSE
28329759,FALSE
25462425,TRUE
29604116,FALSE
23083405,FALSE
26536954,FALSE
22813306,FALSE
20194418,TRUE
29834801,TRUE
20733744,FALSE
27378274,FALSE
29479921,FALSE
25106700,TRUE
25374200,FALSE
28002902,TRUE
21740675,FALSE
24532192,TRUE
24826889,FALSE
22770353,TRUE
22823047,FALSE
25673247,TRUE
23626867,TRUE
28871202,FALSE
27325677,TRUE
26067196,FALSE
27181524,FALSE
22687370,FALSE
26718832,TRUE
29355282,TRUE
23999345,FALSE
25480751,TRUE
29211331,TRUE
29515146,FALSE
23443614,TRUE
29814073,FALSE
27198017,FALSE
23246256,FALSE
22329773,TRUE
26569878,FALSE
28211765,TRUE
23049751,FALSE
29073039,TRUE
25760183,FALSE
26042566,FALSE
25762047,TRUE
24384436,FALSE
27446484,FALSE
23401457,FALSE
29160705,FALSE
21642848,TRUE
27869856,TRUE
21566926,TRUE
23204159,TRUE
20910017,TRUE
26862286,TRUE
28125359,TRUE
28266313,TRUE
29053803,TRUE
23747767,FALSE
24051729,TRUE
23055222,TRUE
29883512,TRUE
21878933,TRUE
20891328,TRUE
26653334,TRUE
26496371,TRUE
25420845,FALSE
20499700,FALSE
24671113,FALSE
27166034,TRUE
25916947,TRUE
29408978,TRUE
28962350,FALSE
24809786,FALSE
21609395,FALSE
22375059,TRUE
22095255,TRUE
26487552,TRUE
21688221,FALSE
27589113,FALSE
27528759,FALSE
22455222,TRUE
28295090,FALSE
28426211,TRUE
26700166,FALSE
26234217,FALSE
23630908,TRUE
25790486,FALSE
28195019,TRUE
25071983,TRUE
23218415,TRUE
25435633,FALSE
28728484,TRUE
25679207,FALSE
25954773,FALSE
23568638,FALSE
21395216,TRUE
20234153,FALSE
24602292,TRUE
25848586,FALSE
27446285,FALSE
24462798,FALSE
28328337,FALSE
26847435,TRUE
22839055,TRUE
27825780,TRUE
27719804,TRUE
29793861,FALSE
29177853,FALSE
28126155,TRUE
28753155,FALSE
22584896,FALSE
20443804,TRUE
25113241,TRUE
25584979,TRUE
24421897,FALSE
27390624,TRUE
28736037,FALSE
25223796,TRUE
23917942,TRUE
27718921,FALSE
26091369,TRUE
22093301,FALSE
21532905,TRUE
26080299,FALSE
27239116,FALSE
26310022,TRUE
28814018,TRUE
25830475,TRUE
24212107,TRUE
27163968,TRUE
24673029,FALSE
29226382,FALSE
20278846,FALSE
23318972,TRUE
27135728,TRUE
24931452,TRUE
29782796,TRUE
28197349,TRUE
28298678,TRUE
25459357,FALSE
21136188,TRUE
28256772,TRUE
23709952,FALSE
20139755,FALSE
27826782,FALSE
21011705,TRUE
27266127,TRUE
23231728,FALSE
23950538,TRUE
26203310,FALSE
20442960,TRUE
27300866,FALSE
26641610,FALSE
29751892,TRUE
28721661,TRUE
25595938,FALSE
23934028,TRUE
27170478,TRUE
20675038,TRUE
20613333,FALSE
26630911,TRUE
24307527,FALSE
25376214,FALSE
21045164,FALSE
29780383,TRUE
26603490,FALSE
21914592,FALSE
23384764,TRUE
25943681,FALSE
24925727,FALSE
20659276,TRUE
23896263,TRUE
22955147,FALSE
26222097,TRUE
22223127,TRUE
26972056,TRUE
20516462,FALSE
29983511,TRUE
28649641,TRUE
20687421,FALSE
25339149,FALSE
28870335,TRUE
26144740,TRUE
26121164,TRUE
28753349,TRUE
21310581,FALSE
27000638,FALSE
29890427,FALSE
28831079,TRUE
28345880,FALSE
25024937,FALSE
22753316,FALSE
23589704,FALSE
24661298,TRUE
29437163,TRUE
27609944,FALSE
24564156,TRUE
29882756,TRUE
26641159,FALSE
22169569,TRUE
21054279,TRUE
23680504,TRUE
24354015,TRUE
29741908,FALSE
20893459,TRUE
21110404,FALSE
27568429,FALSE
28941847,FALSE
23815987,TRUE
28017586,TRUE
28589609,TRUE
25936482,TRUE
29451111,TRUE
20841728,TRUE
27285026,TRUE
27927537,FALSE
24313536,FALSE
24275820,FALSE
20130959,FALSE
21047785,FALSE
20030921,TRUE
22181295,TRUE
29474706,FALSE
25190148,FALSE
25417680,TRUE
28473843,FALSE
22117559,TRUE
24670043,TRUE
23921681,FALSE
28117993,FALSE
20928455,TRUE
23081929,FALSE
29481511,FALSE
27433776,TRUE
24490536,FALSE
20526334,TRUE
20438643,TRUE
29230031,TRUE
23037250,FALSE
25266910,FALSE
28542396,FALSE
27692569,FALSE
23372572,TRUE
23846989,TRUE
23138619,FALSE
23756987,TRUE
28503355,TRUE
25129484,TRUE
22820708,FALSE
26005536,FALSE
25978144,TRUE
22906041,TRUE
25656028,TRUE
29167075,FALSE
27100378,TRUE
25612327,FALSE
22588978,FALSE
25593229,FALSE
27250552,FALSE
20845541,FALSE
28783679,TRUE
24732245,FALSE
24865323,TRUE
22438807,TRUE
23018543,TRUE
29122754,FALSE
20032822,FALSE
21425536,TRUE
28555033,TRUE
27034473,TRUE
24489621,TRUE
28231575,FALSE
20586243,TRUE
25307433,FALSE
26064438,TRUE
